account_code,account_name,level,parent_code,statement_type,category,postable
5103010199.001,ค่าใช้จ่ายเดินทางไปราชการ - ในประเทศ,6,5103010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5103020000.000,ค่าใช้จ่ายเดินทาง ต่างประเทศ,4,5103000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5103020102.001,ค่าเบี้ยเลี้ยง,6,5103020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5103020103.001,ค่าที่พัก,6,5103020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5103020199.001,ค่าใช้จ่ายเดินไปราชการ - ต่างประเทศ,6,5103020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104000000.000,ค่าตอบแทน ใช้สอยวัสดุ และสาธารณูปโภค,3,5100000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104010000.000,ค่าใช้สอย และค่าวสั ดุ,4,5104000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104010104.001,ค่าวัสดุใช้ไป,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010104.002,ค่ายาใช้ไป,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010104.003,ค่าวัสดุที่มีไว้ใช้เพื่อการแพทย์ใช้ไป,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010107.001,ค่าซ่อมแซมและบำรุงรักษา,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010107.002,ค่าใช้จ่ายในการปรับปรุงภูมิทัศน์,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010107.003,ค่าใช้จ่ายในการปรับปรุงอสังหาริมทรัพย์,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010110.001,ค่าเชื้อเพลิง,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010112.001,ค่าจ้างเหมาบริการ - บุคคลภายนอก,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010113.001,ค่าจ้างเหมาบริการ - หน่วยงานภาครัฐ,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010114.001,ค่าธรรมเนียมทางกฎหมาย,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104010115.001,ค่าธรรมเนียม,6,5104010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104020000.000,ค่าสาธารณูปโภค,4,5104000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104020101.001,ค่าไฟฟ้า,6,5104020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104020103.001,ค่าน้ำประปาและน้ำบาดาล,6,5104020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104020105.001,ค่าโทรศัพท์,6,5104020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104020106.001,ค่าบริการสื่อสารและโทรคมนาคม,6,5104020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104020107.001,ค่าบริการไปรษณีย์,6,5104020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030000.000,ค่าใช้สอยอื่น ๆ,4,5104000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104030200.000,ค่าใช้สอยอื่น ๆ,5,5104030000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104030202.001,ค่าจ้างที่ปรึกษา,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030203.001,ค่าเบี้ยประกันภัย,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030205.001,ต้นทุนขาย - สินค้าและบริการ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030206.001,ค่าครุภัณฑ์มูลค่าต่ำกว่าเกณฑ์,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030207.001,ค่าใช้จ่ายในการประชุม,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030208.001,ค่ารับรองและพิธีการ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030209.001,ค่าเช่าอสังหาริมทรัพย์ - หน่วยงานภาครัฐ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030210.001,ค่าเช่าอสังหาริมทรัพย์ - บุคคลภายนอก,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030211.001,ค่าเช่าเบ็ดเตล็ด - หน่วยงานภาครัฐ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030212.001,ค่าเช่าเบ็ดเตล็ด - บคุ คลภายนอก,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030213.001,ค่าตรวจสอบบัญชี - สำนักงานการตรวจเงิน,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030214.001,ค่าตรวจสอบบัญชี - ผู้ตรวจสอบอื่น,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030215.001,ค่าวิจัยและพัฒนา - หน่วยงานภาครัฐ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030216.001,ค่าวิจัยและพัฒนา - บุคคลภายนอก,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030217.001,เงินชดเชยค่างานสิ่งก่อสร้าง,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030219.001,ค่าประชาสัมพันธ์,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030220.001,ชดใช้ค่าเสียหาย,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030299.001,ค่าใช้สอยอื่น ๆ,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104030299.002,ค่ารักษาพยาบาลตามจ่าย,6,5104030200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040000.000,ค่าตอบแทน,4,5104000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5104040101.001,ค่าตอบแทนตามตำแหน่ง,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040102.001,ค่าตอบแทนการปฏิบัติงาน,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040103.001,เงินประจำตำแหน่งพิเศษ,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040105.001,ค่าตอบแทนอาสาสมัคร,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040108.001,เงินค่าครองชีพ,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5104040199.001,ค่าตอบแทนอื่น,6,5104040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105000000.000,ค่าเสื่อมราคาและคา่ ตัดจำหน่าย,3,5100000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5105010101.001,ค่าเสื่อมราคา - อาคารเพื่อ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010103.001,ค่าเสื่อมราคา - อาคารสำนักงาน,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010105.001,ค่าเสื่อมราคา - อาคารเพื่อ,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5105010106.001,ค่าเสื่อมราคา - อาคาร,6,5105010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
