ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาว,9,42572543.5,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,10,78744435.64,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์โครงสร้างพื้นฐาน - สุทธิ,11,176484985.25,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,297801964.39,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์รวม,รวมสินทรัพย์,,594605042.03,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้การค้า,12,5155645.35,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้อื่นระยะสั้น,13,1093341.7,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เงินรับฝากระยะสั้น,14,471508.27,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,15,0.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,6720495.32,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,เงินรับฝากระยะยาว,16,752050.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,,752050.0,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินรวม,รวมหนี้สิน,,7472545.32,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสะสม,19,587132496.71,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รวมสินทรัพย์สุทธิ/ส่วนทุน,,587132496.71,บาท,subtotal,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงฐานะการเงิน,หนี้สินและส่วนทุนรวม,รวมหนี้สินและสินทรัพย์สุทธิ/ส่วนทุน,,594605042.03,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากงบประมาณ,20,108250800.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้ภาษีจัดสรร,21,72338878.61,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายสินค้าและบริการ,22,6488.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนจากหน่วยงานภาครัฐ,23,432000.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการจัดเก็บภาษี ค่าธรรมเนียม ค่าปรับ และใบอนุญาต,24,36701525.73,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนอื่นและบริจาค,25,71300.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้ของกิจการเฉพาะการและหน่วยงานภายใต้สังกัด,26,202657.45,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,27,2465537.04,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,รายได้รวม,รวมรายได้,,220469186.83,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายบุคลากร,28,57366975.23,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าบำเหน็จบำนาญ,29,457656.0,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าตอบแทน,30,2609121.37,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้สอย,31,13567582.92,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าวัสดุ,32,7613120.35,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าสาธารณูปโภค,33,1350952.79,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,34,21756411.94,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนจากหน่วยงานภาครัฐ,35,9910114.39,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนอื่นและบริจาค,36,45165168.44,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายอื่น,37,2896196.58,บาท,line_item,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่ายรวม,รวมค่าใช้จ่าย,,162693300.01,บาท,total,,financial_report_thachang_2568.csv
ท่าช้าง,เทศบาลตำบลท่าช้าง,2568,งบแสดงผลการดำเนินงาน,สรุปผล,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสุทธิ,,57775886.82,บาท,total,,financial_report_thachang_2568.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบกลาง (central_budget),,19187357.24,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบบุคลากร (personnel_budget),,20109632.44,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบดำเนินงาน (operating_budget),,20397420.32,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบลงทุน (investment_budget),,8242800.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบเงินอุดหนุน (subsidies_budget),,6062790.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,งบประมาณรวม,งบประมาณรวม (total_budget_baht),,74000000.0,บาท,total,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบกลาง (central_budget) / งบรวม,,25.9,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบบุคลากร (personnel_budget) / งบรวม,,27.2,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบดำเนินงาน (operating_budget) / งบรวม,,27.6,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบลงทุน (investment_budget) / งบรวม,,11.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบเงินอุดหนุน (subsidies_budget) / งบรวม,,8.2,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,,19867276.06,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนรวม,,34141016.1,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนรวม,,57958829.13,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนรวม,,520105.68,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนรวม,,7025577.86,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,หนี้สินรวม,หนี้สินรวม,,7545683.54,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,ทุนสะสม,,84554161.69,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงฐานะการเงิน,สินทรัพย์รวม,สินทรัพย์รวม (คำนวณ = หมุนเวียน + ไม่หมุนเวียน),,92099845.23,บาท,total,ปิงโค้งเป็นข้อมูลยอดรวม ไม่มีรายการย่อย; total_assets 2567 ต้นฉบับพิมพ์ผิด แก้เป็นผลรวมจริงแล้ว,งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,ภาษีจัดสรร,,36484497.28,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายและบริการ,,72501.0,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,เงินอุดหนุนจากรัฐบาล,,40390518.5,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,ภาษี/ค่าธรรมเนียม/ค่าปรับท้องถิ่น,,371868.82,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้เฉพาะกิจกรรม,,119000.76,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,,252078.12,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้รวม,รายได้รวม (total_revenues),,77690464.48,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),รายรับ.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,งบแสดงผลการดำเนินงาน,รายได้รวม,"รายได้รวม (ตามรายงานต้นฉบับ, ใช้ตรวจสอบ)",,77690373.48,บาท,total,ยอดตรวจสอบจากรายงานต้นฉบับ,รายรับ.csv
